Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.066549,-0.076779,0.018299,0,0,0,0.62617,0.00052521,-6.862E-09,-1.6387E-05,0.00032978,-3.1717E-08,0.00052273,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/base_link.STL,,base_link^biped_bike_robot_print-1,world_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_hip_yaw,-0.0138,6.382E-10,-0.013274,0,0,0,0.02669,4.5719E-06,1.5266E-12,-2.9972E-07,3.7583E-05,1.3861E-14,3.7244E-05,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_hip_yaw.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_hip_yaw.STL,,l_hip_yaw^biped_bike_robot_print-1,l_hip_yaw_frame,l_hip_yaw_axis,l_hip_yaw,revolute,-0.01525,-0.01425,0.0026,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
l_hip_roll,-0.012167,-0.00018746,0.046558,0,0,0,0.11819,2.002E-05,-2.5073E-07,2.5101E-07,2.6548E-05,-1.0504E-08,3.2975E-05,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_hip_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_hip_roll.STL,,l_hip_roll^biped_bike_robot_print-1,l_hip_roll_frame,l_hip_roll_axis,l_hip_roll,revolute,-0.0594,0,-0.0376,0,-1.5708,0,l_hip_yaw,0,0,-1,0,0,0,0,,,,,,,,
l_hip_pitch,-1.1102E-16,0.0295,-0.0209,0,0,0,0.014036,9.6249E-06,-9.4523E-21,4.9468E-22,7.4429E-06,-5.5897E-21,3.251E-06,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_hip_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_hip_pitch.STL,,L_hip_pitch^biped_bike_robot_print-1,l_hip_pitch_frame,l_hip_pitch_axis,l_hip_pitch,revolute,-0.024,-0.0209,0.0614,1.5708,-1.5708,0,l_hip_roll,0,0,1,0,0,0,0,,,,,,,,
l_knee_pitch,0.016601,0.023502,-0.020593,0,0,0,0.14629,7.0785E-05,6.6248E-06,-1.0468E-08,4.6844E-05,5.1101E-07,5.4874E-05,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_knee_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_knee_pitch.STL,,l_knee_pitch^biped_bike_robot_print-1,l_knee_pitch_frame,l_knee_pitch_axis,l_knee_pitch,revolute,0,0.059,0,0,0,0,l_hip_pitch,0,0,-1,0,0,0,0,,,,,,,,
l_ankle_pitch,-0.01485,0.011601,-0.020714,0,0,0,0.11819,3.2975E-05,-2.5109E-07,-2.0538E-11,2.002E-05,2.6018E-07,2.6548E-05,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_ankle_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_ankle_pitch.STL,,l_ankle_pitch^biped_bike_robot_print-1,l_ankle_pitch_frame,l_ankle_pitch_axis,l_ankle_pitch,revolute,-0.003,0.1125,0,0,0,0,l_knee_pitch,0,0,-1,0,0,0,0,,,,,,,,
l_foot_roll,-0.050982,2.7756E-16,0.058939,0,0,0,0.074723,0.00015126,-1.6535E-19,5.9432E-06,0.00014234,1.4812E-19,3.6526E-05,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_foot_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_foot_roll.STL,,l_foot_roll^biped_bike_robot_print-1,l_foot_roll_frame,l_foot_roll_axis,l_foot_roll,revolute,-0.0614,0,-0.0209,-1.5708,0,-1.5708,l_ankle_pitch,0,0,-1,0,0,0,0,,,,,,,,
l_knee_pitch_wheel,3.3487E-13,-6.9322E-13,0.017202,0,0,0,0.016569,4.4099E-06,-3.0656E-13,-9.7597E-18,4.4099E-06,3.4771E-17,6.9878E-06,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_knee_pitch_wheel.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/l_knee_pitch_wheel.STL,,l_knee_pitch_wheel^biped_bike_robot_print-1,l_knee_pitch_wheel_frame,l_knee_pitch_wheel_axis,l_knee_pitch_wheel,continuous,0.041,0,0,0,0,0,l_knee_pitch,0,0,-1,,,,,,,,,,,,
r_hip_yaw,-0.0138,6.382E-10,-0.013274,0,0,0,0.02669,4.5719E-06,1.5266E-12,-2.9972E-07,3.7583E-05,1.3861E-14,3.7244E-05,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/r_hip_yaw.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/r_hip_yaw.STL,,r_hip_yaw^biped_bike_robot_print-1,r_hip_yaw_frame,r_hip_yaw_axis,r_hip_yaw,revolute,-0.01525,-0.13925,0.0026,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
r_hip_roll,-0.012165,-0.00018769,0.046558,0,0,0,0.11819,2.002E-05,-2.5141E-07,2.5107E-07,2.6548E-05,-1.0511E-08,3.2975E-05,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/r_hip_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_print_ver6/meshes/r_hip_roll.STL,,R_hip_roll^biped_bike_robot_print-1,r_hip_roll_frame,r_hip_roll_axis,r_hip_roll,revolute,-0.0594,0,-0.0376,0,-1.5708,0,r_hip_yaw,0,0,-1,0,0,0,0,,,,,,,,
